lesson_number,hanzi,pinyin,translation,proficiency
4,不错,bùcuò,"correct, right, not bad, pretty good",0
4,错,cuò,"error, blunder, mistake; wrong",0
4,想,xiǎng,"think, speculate, plan, consider",0
4,觉得,juéde,"to think, to feel",0
4,有意思,yǒuyìsi,"interesting, meaningful, enjoyable, fun",0
4,意思,yìsi,"idea, opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, to give as a small token, to do sth as a gesture of goodwill etc",0
4,只,zhǐ,"only, just, simply",0
4,睡觉,shuìjiào,"to go to bed, to sleep",0
4,睡,shuì,"sleep, doze",0
5,呀,ya,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,0
5,进,jìn,"advance, make progress, enter",0
5,快,kuài,"rapid, quick, speedy, fast; soon",0
5,进来,jìnlái,to come in,0
5,来,lái,"come, coming; return, returning",0
5,介绍,jièshào,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction",0
5,一下,yīxià,"(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once",0
5,高兴,gāoxìng,"happy, glad, willing (to do sth), in a cheerful mood",0
5,漂亮,piàoliang,"pretty, beautiful",0
5,坐,zuò,"sit; seat; ride, travel by",0
5,在,zài,"be at, in, on; consist in, rest",0
5,哪儿,nǎr,"where?, wherever, anywhere",0
5,学校,xuéxiào,school,0
5,喝,hē,"drink; shout, call out",0
5,茶,chá,tea,0
5,咖啡,kāfēi,coffee (loanword),0
5,吧,ba,emphatic final particle,0
5,要,yào,"necessary, essential; necessity",0
5,瓶,píng,"jug, pitcher, vase, jar, bottle",0
5,可乐,kělè,"amusing, entertaining, (loanword) cola",0
5,可以,kěyǐ,"can, may, possible, able to, not bad, pretty good",0
5,对不起,duìbuqǐ,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)",0
5,给,gěi,"give; by, for",0
5,杯,bēi,"cup, glass",0
5,水,shuǐ,"water, liquid, lotion, juice",0
5,玩,wán,"play with, joke, enjoy",0
5,了,le,to finish; particle of completed action,0
5,图书馆,túshūguǎn,library,0
5,一起,yīqǐ,"in the same place, together, with, altogether (in total)",0
5,聊天,liáotiān,"to chat, to gossip",0
5,聊,liáo,"somewhat, slightly, at least",0
5,才,cái,"talent, ability; just, only",0
5,回家,huíjiā,to return home,0
5,回,huí,"return, turn around; a time",0
6,打电话,dǎdiànhuà,to make a telephone call,0
6,电话,diànhuà,"telephone, phone call, phone number",0
6,喂,wèi,interjection to call attention,0
6,就,jiù,"just, simply; to come, go to; to approach, near",0
6,您,nín,honorific for 'you',0
6,哪,nǎ,which? where? how?,0
6,位,wèi,"throne; position, post; rank, status; seat",0
6,下午,xiàwǔ,"afternoon, p.m.",0
6,时间,shíjiān,"time, period",0
6,问题,wèntí,"question, problem, issue, topic",0
6,开会,kāihuì,"to hold a meeting, to attend a meeting",0
6,开,kāi,"open; initiate, begin, start",0
6,会,huì,"assemble, meet together; meeting",0
6,上午,shàngwǔ,morning,0
6,节,jié,"knot, node, joint; section",0
6,课,kè,lesson; course; classwork,0
6,年级,niánjí,"grade, year (in school, college etc)",0
6,考试,kǎoshì,"to take an exam, exam",0
6,考,kǎo,"examine, test; investigate",0
6,试,shì,"test, try, experiment",0
6,以后,yǐhòu,"after, later, afterwards, following, later on, in the future",0
6,空,kōng,"empty, hollow, bare, deserted",0
6,要是,yàoshi,if,0
6,方便,fāngbiàn,"convenient, suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself",0
6,到,dào,"go to, arrive, been to",0
6,办公室,bàngōngshì,"office, business premises, bureau",0
6,行,xíng,"go; walk; move, travel; circulate",0
6,等,děng,"rank, grade; wait; equal; 'etc.'",0
6,客气,kèqi,"polite, courteous, formal, modest",0
6,下,xià,"under, underneath, below; down; inferior; bring down",0
6,中文,zhōngwén,Chinese language,0
6,文,wén,"literature, culture, writing",0
6,帮,bāng,"help, assist; defend; shoe upper",0
6,准备,zhǔnbèi,"preparation, to prepare, to intend, to be about to, reserve (fund)",0
6,练习,liànxí,"to practice, exercise, drill, practice",0
6,说,shuō,"speak, say, talk; scold, upbraid",0
6,啊,a,exclamatory particle,0
6,但是,dànshì,"but, however",0
6,得,dé,"obtain, get, gain, acquire",0
6,跟,gēn,"heel; to follow, accompany; with",0
6,见面,jiànmiàn,"to meet, to see each other",0
6,面,miàn,"face; surface; plane; side, dimension",0
6,回来,huílai,"to return, to come back (…lai)",0
7,说话,shuōhuà,"to speak, to say, to talk, to gossip, to tell stories, talk, word",0
7,话,huà,"speech, talk, language; dialect",0
7,上个,shàngge,"first (of two parts), last (week etc), previous, the above",0
7,复习,fùxí,"to review, revision",0
7,写,xiě,"write; draw, sketch; compose",0
7,字,zì,"letter, character, word",0
7,慢,màn,"slow(ly), leisurely, sluggish",0
7,枝,zhī,"branches, limbs; branch off",0
7,笔,bǐ,writing brush; write; stroke,0
7,张,zhāng,"stretch, extend, expand; sheet",0
7,纸,zhǐ,paper,0
7,教,jiào,"teach, class",0
7,怎么,zěnme,"how?, what?, why?",0
7,懂,dǒng,"understand, comprehend",0
7,真,zhēn,"real, actual, true, genuine",0
7,哪里,nǎlǐ,"where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment; where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment, also written 哪里",0
7,它,tā,it; other,0
7,预习,yùxí,to prepare a lesson,0
7,学,xué,"learning, knowledge; school",0
7,第,dì,"sequence, number; grade, degree",0
7,语法,yǔfǎ,grammar,0
7,容易,róngyì,"easy, likely, liable (to)",0
7,生词,shēngcí,"new word (in textbook), word that is unfamiliar or not yet studied",0
7,汉字,hànzì,"Chinese character, Japanese: kanji, Korean: hanja, Vietnamese: hán tự",0
7,难,nán,"difficult, arduous, hard; unable",0
7,平常,píngcháng,"ordinary, common, usually, ordinarily",0
7,早,zǎo,early; soon; morning,0
7,这么,zhème,"so much, this much, how much?, this way, like this",0
7,晚,wǎn,"night, evening; late",0
7,早上,zǎoshang,early morning (…shang),0
7,功课,gōngkè,"homework, assignment, task, classwork, lesson, study",0
7,大家,dàjiā,"everyone, influential family, great expert",0
7,上课,shàngkè,"to go to class, to attend class, to go to teach a class",0
7,开始,kāishǐ,"to begin, beginning, to start, initial",0
7,念,niàn,"think of, recall, study",0
7,课文,kèwén,text,0
7,录音,lùyīn,"to record (sound), sound recording",0
7,学习,xuéxí,"to learn, to study",0
7,帅,shuài,"commander, commander-in-chief",0
7,酷,kù,"strong, stimulating; very",0
8,这儿,zhèr,here,0
8,刷卡,shuākǎ,"to use a credit card (or swipe card, smart card etc)",0
8,篇,piān,"chapter, section, essay, article",0
8,日记,rìjì,diary,0
8,累,lèi,"tired; implicate, involve; bother",0
8,起床,qǐchuáng,"to get out of bed, to get up",0
8,床,chuáng,"bed, couch; framework, chassis",0
8,洗澡,xǐzǎo,"to bathe, to take a shower",0
8,早饭,zǎofàn,breakfast,0
8,一边,yībiān,"one side, either side, on the one hand, on the other hand, doing while",0
8,教室,jiàoshì,classroom,0
8,发音,fāyīn,"to pronounce, pronunciation, to emit sound",0
8,新,xīn,"new, recent, fresh, modern",0
8,电脑,diànnǎo,computer,0
8,脑,nǎo,brain,0
8,中午,zhōngwǔ,"noon, midday",0
8,餐厅,cāntīng,"dining hall, dining room, restaurant",0
8,午饭,wǔfàn,lunch,0
8,上网,shàngwǎng,"to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net",0
8,宿舍,sùshè,"dormitory, dorm room, living quarters, hostel",0
8,那儿,nàr,there,0
8,正在,zhèngzài,"just at (that time), right in (that place), right in the middle of (doing sth)",0
8,以前,yǐqián,"before, formerly, previous, ago",0
8,告诉,"gàosu, gàosù","to tell, to inform, to let know; to press charges, to file a complaint",0
8,已经,yǐjīng,already,0
8,知道,zhīdào,"to know, to become aware of, undefined",0
8,封,fēng,"letter, envelope; feudal",0
8,信,xìn,"trust, believe; letter",0
8,最近,zuìjìn,"recent, recently, these days, latest, soon, nearest (of locations), shortest (of routes)",0
8,最,zuì,"most, extremely, exceedingly",0
8,近,jìn,"near, close; approach; intimate",0
8,学期,xuéqī,"term, semester",0
8,专业,zhuānyè,"specialty, specialized field, main field of study (at university), major, professional",0
8,后来,hòulái,"afterwards, later",0
8,音乐会,yīnyuèhuì,concert,0
8,希望,xīwàng,"to wish for, to desire, hope",0
8,能,néng,"to be able; can, permitted to; ability",0
8,用,yòng,"use, employ, apply, operate; use",0
8,笑,xiào,"smile, laugh, giggle; snicker",0
8,祝,zhù,pray for happiness or blessings,0
9,刷,shuā,"brush; clean with brush, scrub",0
9,卡,kǎ,"card, punch card; calorie",0
9,收,shōu,"gather together, collect; harvest",0
9,信用卡,xìnyòngkǎ,credit card,0
9,不过,bùguò,"only, merely, no more than, but, however, anyway (to get back to a previous topic), cannot be more (after adjectival)",0
9,付钱,fùqián,to pay money,0
9,付,fù,"give, deliver, pay, hand over; entrust",0
9,商店,shāngdiàn,"store, shop",0
9,买,mǎi,"buy, purchase; bribe, persuade",0
9,东西,"dōngxi, dōngxī","thing, stuff, person; east and west",0
9,售货员,shòuhuòyuán,salesperson,0
9,衣服,yīfu,clothes,0
9,件,jiàn,numerary adjunct for article; matter,0
9,衬衫,chènshān,"shirt, blouse",0
9,颜色,yánsè,"color, countenance, appearance, facial expression, pigment, dyestuff",0
9,黄,huáng,yellow; surname,0
9,红,hóng,"red, vermillion; blush, flush",0
9,穿,chuān,"penetrate, pierce, drill; wear",0
9,条,tiáo,"clause, condition; string, stripe",0
9,裤子,kùzi,"trousers, pants",0
9,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",0
9,便宜,"piányi, biànyí","cheap, inexpensive, small advantages, to let sb off lightly; convenient",0
9,长短,chángduǎn,"length, duration, accident, right and wrong, good and bad, long and short",0
9,长,zhǎng,long; length; excel in; leader,0
9,短,duǎn,"short; brief; deficient, lacking",0
9,合适,héshì,"suitable, fitting, appropriate",0
9,不用,bùyòng,need not,0
9,一共,yīgòng,altogether,0
9,多少,"duōshao, duōshǎo","how much, how many, which (number), as much as; number, amount, somewhat",0
9,钱,qián,"money, currency, coins",0
9,块,kuài,"piece, lump; dollar",0
9,毛,máo,"hair, fur, feathers; coarse",0
9,分,fēn,divide; small unit of time etc.,0
9,百,bǎi,"one hundred; numerous, many",0
9,双,shuāng,"set of two, pair, couple; both",0
9,鞋,xié,"shoes, footwear in general",0
9,换,huàn,change,0
9,一样,yīyàng,"same, like, equal to, the same as, just like",0
9,虽然,suīrán,"although, even though, even if",0
9,大小,dàxiǎo,"dimension, magnitude, size, measurement, large and small, at any rate, adults and children, consideration of seniority",0
9,咖啡色,kāfēisè,"coffee color, brown",0
9,种,zhǒng,"seed; race, breed; to plant",0
9,黑,hēi,"black; dark; evil, sinister",0
9,样子,yàngzi,"appearance, manner, pattern, model",0
9,挺,tǐng,"to stand upright, straighten; rigid",0
10,寒假,hánjià,winter vacation,0
10,飞机,fēijī,airplane,0
10,飞,fēi,fly; go quickly; dart; high,0
10,机,jī,desk; machine; moment,0
10,票,piào,slip of paper or bamboo; ticket,0
10,机场,jīchǎng,"airport, airfield",0
10,公共汽车,gōnggòngqìchē,bus,0
10,公共,gōnggòng,"public, common, communal",0
10,汽车,qìchē,"car, automobile, bus",0
10,车,chē,"cart, vehicle; carry in cart",0
10,或者,huòzhě,"or, possibly, maybe, perhaps",0
10,地铁,dìtiě,"subway, metro",0
10,走,zǒu,"walk, go on foot; run; leave",0
10,先,xiān,"first, former, previous",0
10,站,zhàn,"stand up; a stand, station",0
10,下车,xiàchē,"to get off or out of (a bus, train, car etc)",0
10,然后,ránhòu,"after, then (afterwards), after that, afterwards",0
10,绿,lǜ,green; chlorine,0
10,线,xiàn,"line, thread, wire; clue",0
10,最后,zuìhòu,"final, last, finally, ultimate",0
10,蓝,lán,blue; indigo plant; surname,0
10,麻烦,máfan,"inconvenient, troublesome, annoying, to trouble or bother sb, to put sb to trouble",0
10,打车,dǎchē,"to take a taxi (in town), to hitch a lift",0
10,出租汽车,chūzūqìchē,"taxi, cab (PRC), hire car (Tw)",0
10,出租,chūzū,to rent,0
10,租,zū,"rent, lease; rental; tax",0
10,开车,kāichē,to drive a car,0
10,送,sòng,"see off, send off; dispatch, give",0
10,电子邮件,diànzǐyóujiàn,email,0
10,电子,diànzǐ,"electronic, electron (particle physics)",0
10,让,ràng,"allow, permit, yield, concede",0
10,花,huā,flower; blossoms,0
10,不好意思,bùhǎoyìsi,"to feel embarrassed, to find it embarrassing, to be sorry (for inconveniencing sb)",0
10,每,měi,"every, each",0
10,城市,chéngshì,"city, town",0
10,特别,tèbié,"especially, special, particular, unusual",0
10,高速公路,gāosùgōnglù,"expressway, highway, freeway",0
10,高速,gāosù,high speed,0
10,公路,gōnglù,"highway, road",0
10,路,lù,"road, path, street; journey",0
10,紧张,jǐnzhāng,"nervous, keyed up, intense, tense, strained, in short supply, scarce",0
10,自己,zìjǐ,"oneself, one's own",0
10,手机,shǒujī,"cell phone, mobile phone",0
10,发短信,fāduǎnxìn,"to text, to send SMS messages",0
10,新年,xīnnián,New Year,0
10,快乐,kuàilè,"happy, merry",0
11,天气,tiānqì,weather,0
11,比,bǐ,"to compare, liken; comparison; than",0
11,下雪,xiàxuě,to snow,0
11,约,yuē,"treaty, agreement, covenant",0
11,公园,gōngyuán,park (for public recreation),0
11,滑冰,huábīng,"to skate, skating",0
11,刚才,gāngcái,"(just) a moment ago; just now, a moment ago",0
11,网上,wǎngshàng,online,0
11,预报,yùbào,forecast,0
11,更,gèng,"more, still further, much more",0
11,暖和,nuǎnhuo,"warm, nice and warm",0
11,冷,lěng,"cold, cool; lonely",0
11,办,bàn,"manage, do, handle; deal with",0
11,碟,dié,"small dish, plate",0
11,那么,nàme,"like that, in that way, or so, so, so very much, about, in that case",0
11,好玩儿,hǎowánr,"interesting, delightful, amusing",0
11,出去,chūqù,to go out,0
11,非常,fēicháng,"very, very much, unusual, extraordinary",0
11,糟糕,zāogāo,"too bad, how terrible, what bad luck, terrible, bad",0
11,下雨,xiàyǔ,to rain,0
11,又,yòu,"and, also, again, in addition",0
11,面试,miànshì,"to be interviewed (as a candidate), interview",0
11,回去,huíqu,"to return, to go back (…qu)",0
11,冬天,dōngtiān,winter,0
11,夏天,xiàtiān,summer,0
11,热,rè,hot; heat; fever; restless; zeal,0
11,春天,chūntiān,spring (season),0
11,秋天,qiūtiān,autumn,0
11,舒服,shūfu,"comfortable, feeling well",0
11,加州,jiāzhōu,California,0
12,饭馆,fànguǎn,restaurant,0
12,好像,hǎoxiàng,"as if, to seem like",0
12,位子,wèizi,"place, seat",0
12,服务员,fúwùyuán,"waiter, waitress, attendant, customer service personnel",0
12,服务,fúwù,"to serve, service",0
12,桌子,zhuōzi,"table, desk",0
12,点菜,diǎncài,to order dishes (in a restaurant),0
12,盘,pán,"tray, plate, dish; examine",0
12,饺子,jiǎozi,"dumpling, pot-sticker",0
12,素,sù,white (silk); plain; vegetarian; formerly; normally,0
12,家常,jiācháng,the daily life of a family,0
12,豆腐,dòufu,"tofu, bean curd",0
12,放,fàng,"put, release, free, liberate",0
12,肉,ròu,flesh; meat; KangXi radical 130,0
12,碗,wǎn,"bowl, small dish",0
12,酸辣汤,suānlàtāng,"hot and sour soup, sour and spicy soup",0
12,酸,suān,"tart, sour; acid; stiff; spoiled",0
12,辣,là,"peppery, pungent, hot; cruel",0
12,汤,tāng,"hot water; soup, gravy, broth",0
12,味精,wèijīng,monosodium glutamate (MSG),0
12,盐,yán,salt,0
12,白菜,báicài,"Chinese cabbage, pak choi",0
12,刚,gāng,"hard, tough, rigid, strong",0
12,卖完,màiwán,to be sold out,0
12,完,wán,"complete, finish, settle; whole",0
12,青菜,qīngcài,"green vegetables, Chinese cabbage",0
12,冰茶,bīngchá,iced tea,0
12,冰,bīng,ice; ice-cold,0
12,渴,kě,"thirsty, parched; yearn, pine",0
12,些,xiē,"little, few; rather, somewhat",0
12,够,gòu,"enough, adequate",0
12,饿,è,hungry; greedy for; hunger,0
12,上菜,shàngcài,"to serve, also to put on plate",0
12,师傅,shīfu,"master, qualified worker, respectful form of address for older men",0
12,好吃,"hàochī, hǎochī","to be fond of eating, to be gluttonous; tasty, delicious",0
12,糖醋鱼,tángcùyú,sweet and sour fish,0
12,糖,táng,sugar; candy; sweets,0
12,醋,cù,"vinegar; jealousy, envy",0
12,甜,tián,"sweet, sweetness",0
12,极,jí,"extreme, utmost, furthest, final",0
12,红烧,hóngshāo,simmer-fried (dish),0
12,牛肉,niúròu,beef,0
12,牛,niú,"cow, ox, bull; KangXi radical93",0
12,鱼,yú,fish; surname; KangXi radical 195,0
12,凉拌,liángbàn,"salad with dressing, cold vegetables dressed with sauce (e.g. coleslaw)",0
12,黄瓜,huángguā,cucumber,0
12,米饭,mǐfàn,(cooked) rice,0
12,忘,wàng,"forget; neglect; miss, omit",0
12,带,dài,"belt, girdle, band, strap, zone",0
12,清楚,qīngchu,"clear, distinct, to understand thoroughly, to be clear about",0
12,没关系,méiguānxi,it doesn't matter,0
12,上海,shànghǎi,"Shanghai municipality, central east China, abbr. to 沪",0
13,上,shàng,"top; superior, highest; go up, send up",0
13,中心,zhōngxīn,"center, heart, core",0
13,听说,tīngshuō,"to hear (sth said), one hears (that), hearsay, listening and speaking",0
13,运动,yùndòng,"to move, to exercise, sports, exercise, motion, movement, campaign",0
13,场,chǎng,"open space, field, market",0
13,旁边,pángbiān,"lateral, side, to the side, beside",0
13,远,yuǎn,"distant, remote, far; profound",0
13,离,lí,rare beast; strange; elegant,0
13,活动,huódòng,"to exercise, to move about, to operate, to use connections (personal influence), loose, shaky, active, movable, activity, campaign, maneuver, behavior",0
13,中间,zhōngjiān,"between, intermediate, mid, middle",0
13,书店,shūdiàn,bookstore,0
13,地方,"dìfang, dìfāng","area, place, space, room, territory; region, regional (away from the central administration), local",0
13,里边,lǐbian,inside,0
13,过,guò,"pass, pass through, go across",0
13,中国城,zhōngguóchéng,Chinatown,0
13,城,chéng,"castle; city, town; municipality",0
13,地图,dìtú,map,0
13,拿,ná,"take, hold, grasp; bring; with",0
13,次,cì,"order, sequence; next",0
13,从,cóng,"from, by, since, whence, through",0
13,一直,yīzhí,"straight (in a straight line), continuously, always, from the beginning of ... up to ..., all along",0
13,往,wǎng,"go, depart; past, formerly",0
13,南,nán,south; southern part; southward,0
13,路口,lùkǒu,"crossing, intersection (of roads)",0
13,西,xī,"west(ern); westward, occident",0
13,拐,guǎi,"kidnap, abduct; turn",0
13,哎,āi,interjection of surprise,0
13,东,dōng,"east, eastern, eastward",0
13,北,běi,north; northern; northward,0
13,前,qián,"in front, forward; preceding",0
13,红绿灯,hónglǜdēng,"traffic light, traffic signal",0
13,灯,dēng,"lantern, lamp",0
13,右,yòu,right; west; right-wing,0
13,左,zuǒ,"left; east; unorthodox, improper",0
13,前面,qiánmiàn,"ahead, in front, preceding, above",0
13,日文,rìwén,Japanese (language),0
13,东京,dōngjīng,"Tokyo, capital of Japan, Tonkin, northern Vietnam during the French colonial period",0
13,日本,rìběn,"Japan, Japanese",0
14,舞会,wǔhuì,"dance, ball, party",0
14,表姐,biǎojiě,older female cousin via female line,0
14,中学,zhōngxué,middle school,0
14,礼物,lǐwù,"gift, present",0
14,本,běn,"root, origin, source; basis",0
14,饮料,yǐnliào,"drink, beverage",0
14,水果,shuǐguǒ,fruit,0
14,把,bǎ,"hold, take; guard; regard as",0
14,爱,ài,"love, be fond of, like",0
14,苹果,píngguǒ,apple,0
14,梨,lí,"pear; opera; cut, slash",0
14,西瓜,xīguā,watermelon,0
14,住,zhù,"reside, live at, dwell, lodge; stop",0
14,重,zhòng,"heavy, weighty; double",0
14,接,jiē,receive; continue; catch; connect,0
14,楼,lóu,building of two or more stories,0
14,钟头,zhōngtóu,hour (zhong…),0
14,以为,yǐwéi,"to believe, to think, to consider, to be under the impression",0
14,聪明,cōngming,"intelligent, clever, bright, smart, acute (of sight and hearing)",0
14,用功,yònggōng,"diligent, industrious (in one's studies), to study hard, to make great effort",0
14,暑期,shǔqī,summer vacation time,0
14,班,bān,"class, group, grade; squad; job",0
14,可爱,kě'ài,"adorable, cute, lovely",0
14,去年,qùnián,last year,0
14,属,shǔ,"class, category, type; belong to",0
14,狗,gǒu,"dog, canis familiaris",0
14,脸,liǎn,face; cheek; reputation,0
14,圆,yuán,"circle; round, circular; complete",0
14,眼睛,yǎnjing,eye,0
14,鼻子,bízi,nose,0
14,嘴,zuǐ,"mouth, lips",0
14,像,xiàng,"a picture, image, figure; to resemble",0
14,长大,zhǎngdà,to grow up,0
14,一定,yīdìng,"surely, certainly, necessarily, fixed, a certain (extent etc), given, particular, must",0
14,蛋糕,dàngāo,cake,0
